style,country,year,count
Italo-Disco,Italy,1977,2
Italo-Disco,Italy,1978,0
Italo-Disco,Italy,1979,10
Italo-Disco,Italy,1980,98
Italo-Disco,Italy,1981,199
Italo-Disco,Italy,1982,518
Italo-Disco,Italy,1983,1248
Italo-Disco,Italy,1984,1635
Italo-Disco,Italy,1985,1410
Italo-Disco,Italy,1986,1230
Italo-Disco,Italy,1987,1054
Italo-Disco,Italy,1988,726
Italo-Disco,Italy,1989,593
Italo-Disco,Italy,1990,340
Italo-Disco,Germany,1970,0
Italo-Disco,Germany,1971,0
Italo-Disco,Germany,1972,0
Italo-Disco,Germany,1973,0
Italo-Disco,Germany,1974,0
Italo-Disco,Germany,1975,0
Italo-Disco,Germany,1976,0
Italo-Disco,Germany,1977,0
Italo-Disco,Germany,1978,1
Italo-Disco,Germany,1979,0
Italo-Disco,Germany,1980,12
Italo-Disco,Germany,1981,25
Italo-Disco,Germany,1982,81
Italo-Disco,Germany,1983,354
Italo-Disco,Germany,1984,409
Italo-Disco,Germany,1985,530
Italo-Disco,Germany,1986,408
Italo-Disco,Germany,1987,348
Italo-Disco,Germany,1988,345
Italo-Disco,Germany,1989,203
Italo-Disco,Germany,1990,121
Italo-Disco,Spain,1970,0
Italo-Disco,Spain,1971,0
Italo-Disco,Spain,1972,0
Italo-Disco,Spain,1973,0
Italo-Disco,Spain,1974,0
Italo-Disco,Spain,1975,0
Italo-Disco,Spain,1976,0
Italo-Disco,Spain,1977,0
Italo-Disco,Spain,1978,0
Italo-Disco,Spain,1979,1
Italo-Disco,Spain,1980,3
Italo-Disco,Spain,1981,31
Italo-Disco,Spain,1982,57
Italo-Disco,Spain,1983,199
Italo-Disco,Spain,1984,287
Italo-Disco,Spain,1985,300
Italo-Disco,Spain,1986,376
Italo-Disco,Spain,1987,330
Italo-Disco,Spain,1988,245
Italo-Disco,Spain,1989,89
Italo-Disco,Spain,1990,29
Hi NRG,ALL,1970,0
Hi NRG,ALL,1971,0
Hi NRG,ALL,1972,0
Hi NRG,ALL,1973,0
Hi NRG,ALL,1974,0
Hi NRG,ALL,1975,2
Hi NRG,ALL,1976,0
Hi NRG,ALL,1977,4
Hi NRG,ALL,1978,32
Hi NRG,ALL,1979,126
Hi NRG,ALL,1980,70
Hi NRG,ALL,1981,184
Hi NRG,ALL,1982,586
Hi NRG,ALL,1983,1242
Hi NRG,ALL,1984,1797
Hi NRG,ALL,1985,1378
Hi NRG,ALL,1986,1386
Hi NRG,ALL,1987,1493
Hi NRG,ALL,1988,1449
Hi NRG,ALL,1989,1432
Hi NRG,ALL,1990,1061
Hi NRG,US,1970,0
Hi NRG,US,1971,0
Hi NRG,US,1972,0
Hi NRG,US,1973,0
Hi NRG,US,1974,0
Hi NRG,US,1975,0
Hi NRG,US,1976,0
Hi NRG,US,1977,0
Hi NRG,US,1978,15
Hi NRG,US,1979,35
Hi NRG,US,1980,23
Hi NRG,US,1981,50
Hi NRG,US,1982,99
Hi NRG,US,1983,225
Hi NRG,US,1984,261
Hi NRG,US,1985,241
Hi NRG,US,1986,273
Hi NRG,US,1987,342
Hi NRG,US,1988,292
Hi NRG,US,1989,196
Hi NRG,US,1990,85
Hi NRG,UK,1970,0
Hi NRG,UK,1971,0
Hi NRG,UK,1972,0
Hi NRG,UK,1973,0
Hi NRG,UK,1974,0
Hi NRG,UK,1975,0
Hi NRG,UK,1976,0
Hi NRG,UK,1977,0
Hi NRG,UK,1978,1
Hi NRG,UK,1979,14
Hi NRG,UK,1980,7
Hi NRG,UK,1981,11
Hi NRG,UK,1982,38
Hi NRG,UK,1983,160
Hi NRG,UK,1984,341
Hi NRG,UK,1985,235
Hi NRG,UK,1986,235
Hi NRG,UK,1987,278
Hi NRG,UK,1988,221
Hi NRG,UK,1989,184
Hi NRG,UK,1990,113
Hi NRG,Italy,1970,0
Hi NRG,Italy,1971,0
Hi NRG,Italy,1972,0
Hi NRG,Italy,1973,0
Hi NRG,Italy,1974,0
Hi NRG,Italy,1975,0
Hi NRG,Italy,1976,0
Hi NRG,Italy,1977,0
Hi NRG,Italy,1978,0
Hi NRG,Italy,1979,4
Hi NRG,Italy,1980,3
Hi NRG,Italy,1981,12
Hi NRG,Italy,1982,37
Hi NRG,Italy,1983,44
